Experiment #,m/z,Compound,MT_sec,FPhe_RMT,Drug Class,pKa,logP,Van der Waals volume
6,340.2271,Propoxyphene,1148.52,0.960076236,Opioid,9.52,4.9,348.13
6,342.17,Naltrexone,1162.5,0.971762464,Other,9.35,1.27,304.76
6,372.1586,Trazadone,1173.42,0.980890761,Antidepressants,7.09,3.13,326.98
6,388.1586,Flurazepam,1112.7,0.930133414,Sedative,8.71,3.95,346.17
6,399.2278,Mitragynine,1206.24,1.00832581,Opioid,7.04,3.3,376.57
7,141.1435,Amphetamine-d5,851.4,0.785931875,Internal Standard,10.01,1.8,144.86
7,160.1332,Pregabalin,891.24,0.822708391,Other,10.23,-1.35,170.24
7,172.1332,Gabapentin,920.1,0.849349211,Other,9.91,-1.27,176.16
7,177.1022,Cotinine,872.34,0.8052617,Other,4.79,0.21,165.31
7,178.1226,Mephedrone,903.18,0.833730269,Amphetamine,8.05,2.12,181.62
7,184.0768,F-Phe,1083.3,1,Internal Standard,9.45,-1.04,160.46
7,194.1176,MDMA,898.2,0.829133204,Amphetamine,10.14,1.86,185.76
7,208.0968,Methylone,912.12,0.84198283,Amphetamine,7.96,1.23,188.09
7,208.1332,MDEA,934.98,0.863085018,Amphetamine,10.22,2.22,202.74
7,222.1852,Tapentadol,974.82,0.899861534,Opioid,9.6,2.96,240.11
7,224.0837,Norketamine,934.98,0.863085018,Anesthetic,7.27,2.91,201.26
7,233.1648,Norfentanyl,960.9,0.887011908,Opioid,10.03,1.42,234.04
7,234.1489,Methylphenidate,962.88,0.888839657,Stimulant,9.09,2.25,230.61
7,234.1489,Normeperidine,940.98,0.86862365,Anesthetic,9.33,2.07,231.03
7,238.0993,Ketamine,939.96,0.867682083,Anesthetic,7.16,3.35,218.93
7,244.206,Phencyclidine,973.8,0.898919967,Anesthetic,10.56,4.49,260.25
7,248.1645,Meperidine,954.9,0.881473276,Anesthetic,8.16,2.46,248.67
7,256.1696,Diphenhydramine,967.86,0.893436721,Other,8.87,3.65,260.13
7,264.1747,Nortriptyline,990.72,0.914538909,Antidepressants,10.47,4.43,265.01
7,264.1958,Tramadol,1003.68,0.926502354,Opioid,9.23,2.45,272.29
7,267.1856,Desipramine,984.78,0.909055663,Antidepressants,10.02,3.9,268
7,271.0633,Nordiazepam,1012.62,0.934754916,Sedative,2.85,3.21,225.42
7,276.1594,MDPV,997.68,0.920963722,Stimulant,7.31,2.99,262.5
7,278.1903,Amitriptyline,993.72,0.917308225,Antidepressants,9.76,4.81,282.76
7,278.1903,EDDP,969.84,0.89526447,Opioid,9.64,4.63,282.49
7,278.2115,Venlafaxine,1020.6,0.942121296,Antidepressants,8.91,2.74,289.28
7,280.1696,Doxepin,991.74,0.915480476,Antidepressants,9.76,3.84,274.85
7,281.2012,Imipramine,989.76,0.913652728,Antidepressants,9.2,4.28,285.75
7,282.0873,Nitrazepam,1079.28,0.996289117,Sedative,2.65,2.55,233.74
7,284.1194,7-aminoflunitrazepam,951.9,0.87870396,Sedative,3.32,1.79,244.9
7,285.0789,Diazepam,1024.56,0.945776793,Sedative,2.92,3.08,242.85
7,286.0742,7-aminoclonazepam,956.88,0.883301025,Sedative,3.37,2.53,235.66
7,286.1438,Hydromorphone,992.7,0.916366657,Opioid,9.08,1.47,256.88
7,286.1438,Morphine,992.7,0.916366657,Opioid,9.12,0.9,255.64
7,286.1438,Norhydrocodone,992.7,0.916366657,Opioid,10.13,1.58,256.72
7,290.1387,Benzoylecgonine,1134,1.04680144,Stimulant,9.54,-0.59,264.87
7,300.1594,Codeine,974.82,0.899861534,Opioid,13.78,1.34,273.31
7,300.1594,Hydrocodone,974.82,0.899861534,Opioid,9.17,1.96,274.49
7,302.1387,Noroxycodone,996.72,0.920077541,Opioid,9.56,0.65,265.49
7,302.1387,Oxymorphone,996.72,0.920077541,Opioid,8.75,0.64,265.48
7,302.1751,Dihydrocodeine,993.72,0.917308225,Opioid,9.33,1.55,280.95
7,308.1757,Zolpidem,1042.5,0.962337303,Sedative,3.02,3.02,291.81
7,310.1413,Fluoxetine,1011.6,0.933813348,Antidepressants,9.8,4.17,274.24
7,310.2165,Methadone,1014.6,0.936582664,Opioid,9.12,5.01,322.45
7,315.1623,Clomipramine,1009.62,0.9319856,Antidepressants,9.2,4.88,299.69
7,316.1543,Oxycodone,998.7,0.921905289,Opioid,8.77,1.03,283.21
7,325.1711,Citalopram,1023.6,0.944890612,Antidepressants,9.78,3.76,303.78
7,326.0855,Midazolam,991.74,0.915480476,Anesthetic,6.19,3.97,266.62
7,328.1543,Naloxone,1015.62,0.937524232,Opioid,8.39,1.48,291.96
7,334.1543,6-acetylmorphine,1036.5,0.956798671,Opioid,9.08,1.31,292.18
7,337.2274,Fentanyl,1053.42,0.972417613,Opioid,8.77,3.82,339.46
7,340.2271,Propoxyphene,1036.5,0.956798671,Opioid,9.52,4.9,348.13
7,342.17,Naltrexone,1048.44,0.967820548,Other,9.35,1.27,304.76
7,372.1586,Trazadone,1062.36,0.980670174,Antidepressants,7.09,3.13,326.98
7,388.1586,Flurazepam,1005.66,0.928330102,Sedative,8.71,3.95,346.17
7,399.2278,Mitragynine,1091.22,1.007310994,Opioid,7.04,3.3,376.57
8,141.1435,Amphetamine-d5,826.62,0.79210027,Internal Standard,10.01,1.8,144.86
8,160.1332,Pregabalin,864.48,0.828379233,Other,10.23,-1.35,170.24
8,172.1332,Gabapentin,891.3,0.854079227,Other,9.91,-1.27,176.16
8,177.1022,Cotinine,846.54,0.811188409,Other,4.79,0.21,165.31
8,178.1226,Mephedrone,875.4,0.838843213,Amphetamine,8.05,2.12,181.62
8,184.0768,F-Phe,1043.58,1,Internal Standard,9.45,-1.04,160.46
8,194.1176,MDMA,871.44,0.835048583,Amphetamine,10.14,1.86,185.76
8,208.0968,Methylone,884.34,0.847409878,Amphetamine,7.96,1.23,188.09
8,208.1332,MDEA,906.24,0.868395331,Amphetamine,10.22,2.22,202.74
8,222.1852,Tapentadol,942.06,0.902719485,Opioid,9.6,2.96,240.11
8,224.0837,Norketamine,905.28,0.867475421,Anesthetic,7.27,2.91,201.26
8,233.1648,Norfentanyl,931.14,0.892255505,Opioid,10.03,1.42,234.04
8,234.1489,Methylphenidate,931.14,0.892255505,Stimulant,9.09,2.25,230.61
8,234.1489,Normeperidine,911.22,0.873167366,Anesthetic,9.33,2.07,231.03
8,238.0993,Ketamine,910.26,0.872247456,Anesthetic,7.16,3.35,218.93
8,244.206,Phencyclidine,948.06,0.908468924,Anesthetic,10.56,4.49,260.25
8,248.1645,Meperidine,923.16,0.884608751,Anesthetic,8.16,2.46,248.67
8,256.1696,Diphenhydramine,936.12,0.89702754,Other,8.87,3.65,260.13
8,264.1747,Nortriptyline,955.98,0.916058184,Antidepressants,10.47,4.43,265.01
8,264.1958,Tramadol,968.94,0.928476973,Opioid,9.23,2.45,272.29
8,267.1856,Desipramine,952.02,0.912263554,Antidepressants,10.02,3.9,268
8,271.0633,Nordiazepam,977.88,0.937043638,Sedative,2.85,3.21,225.42
8,276.1594,MDPV,963.96,0.923704939,Stimulant,7.31,2.99,262.5
8,278.1903,Amitriptyline,958.98,0.918932904,Antidepressants,9.76,4.81,282.76
8,278.1903,EDDP,937.08,0.89794745,Opioid,9.64,4.63,282.49
8,278.2115,Venlafaxine,984.84,0.943712988,Antidepressants,8.91,2.74,289.28
8,280.1696,Doxepin,958.02,0.918012994,Antidepressants,9.76,3.84,274.85
8,281.2012,Imipramine,955.98,0.916058184,Antidepressants,9.2,4.28,285.75
8,282.0873,Nitrazepam,1044.6,1.000977405,Sedative,2.65,2.55,233.74
8,284.1194,7-aminoflunitrazepam,924.18,0.885586155,Sedative,3.32,1.79,244.9
8,285.0789,Diazepam,990.84,0.949462427,Sedative,2.92,3.08,242.85
8,286.0742,7-aminoclonazepam,929.16,0.89035819,Sedative,3.37,2.53,235.66
8,286.1438,Hydromorphone,958.02,0.918012994,Opioid,9.08,1.47,256.88
8,286.1438,Morphine,958.02,0.918012994,Opioid,9.12,0.9,255.64
8,286.1438,Norhydrocodone,958.02,0.918012994,Opioid,10.13,1.58,256.72
8,290.1387,Benzoylecgonine,1090.32,1.044788133,Stimulant,9.54,-0.59,264.87
8,298.126,Duloxetine,969.96,0.929454378,Antidepressants,9.7,4.2,276.98
8,300.1594,Codeine,943.08,0.90369689,Opioid,13.78,1.34,273.31
8,300.1594,Hydrocodone,943.08,0.90369689,Opioid,9.17,1.96,274.49
8,302.1387,Noroxycodone,964.98,0.924682343,Opioid,9.56,0.65,265.49
8,302.1387,Oxymorphone,964.98,0.924682343,Opioid,8.75,0.64,265.48
8,302.1751,Dihydrocodeine,960,0.919910309,Opioid,9.33,1.55,280.95
8,308.1757,Zolpidem,1005.78,0.963778532,Sedative,3.02,3.02,291.81
8,310.1413,Fluoxetine,975.9,0.935146323,Antidepressants,9.8,4.17,274.24
8,310.2165,Methadone,978.9,0.938021043,Opioid,9.12,5.01,322.45
8,315.1623,Clomipramine,973.92,0.933249008,Antidepressants,9.2,4.88,299.69
8,316.1543,Oxycodone,964.98,0.924682343,Opioid,8.77,1.03,283.21
8,325.1711,Citalopram,987.84,0.946587708,Antidepressants,9.78,3.76,303.78
8,326.0855,Midazolam,960,0.919910309,Anesthetic,6.19,3.97,266.62
8,328.1543,Naloxone,982.86,0.941815673,Opioid,8.39,1.48,291.96
8,335.1543,6-acetylmorphine,997.8,0.956131777,Opioid,9.08,1.31,292.18
8,337.2274,Fentanyl,1016.7,0.974242511,Opioid,8.77,3.82,339.46
8,340.2271,Propoxyphene,999.78,0.958029092,Opioid,9.52,4.9,348.13
8,342.17,Naltrexone,1011.72,0.969470477,Other,9.35,1.27,304.76
8,372.1586,Trazadone,1023.66,0.980911861,Antidepressants,7.09,3.13,326.98
8,388.1586,Flurazepam,972.9,0.932271604,Sedative,8.71,3.95,346.17
8,399.2278,Mitragynine,1048.56,1.004772035,Opioid,7.04,3.3,376.57
9,141.1435,Amphetamine-d5,923.22,0.793103448,Internal Standard,10.01,1.8,144.86
9,160.1332,Pregabalin,963.06,0.827328488,Other,10.23,-1.35,170.24
9,172.1332,Gabapentin,996.84,0.856347611,Other,9.91,-1.27,176.16
9,177.1022,Cotinine,945.12,0.811916911,Other,4.79,0.21,165.31
9,178.1226,Mephedrone,978.96,0.840987578,Amphetamine,8.05,2.12,181.62
9,184.0768,F-Phe,1164.06,1,Internal Standard,9.45,-1.04,160.46
9,194.1176,MDMA,972.96,0.835833204,Amphetamine,10.14,1.86,185.76
9,208.0968,Methylone,988.92,0.849543838,Amphetamine,7.96,1.23,188.09
9,208.1332,MDEA,1012.8,0.870058244,Amphetamine,10.22,2.22,202.74
9,222.1852,Tapentadol,1054.56,0.905932684,Opioid,9.6,2.96,240.11
9,224.0837,Norketamine,1012.8,0.870058244,Anesthetic,7.27,2.91,201.26
9,233.1648,Norfentanyl,1037.64,0.891397351,Opioid,10.03,1.42,234.04
9,234.1489,Methylphenidate,1041.66,0.894850781,Stimulant,9.09,2.25,230.61
9,234.1489,Normeperidine,1017.78,0.874336374,Anesthetic,9.33,2.07,231.03
9,238.0993,Ketamine,1018.74,0.875161074,Anesthetic,7.16,3.35,218.93
9,244.206,Phencyclidine,1059.54,0.910210814,Anesthetic,10.56,4.49,260.25
9,248.1645,Meperidine,1032.72,0.887170764,Anesthetic,8.16,2.46,248.67
9,256.1696,Diphenhydramine,1046.64,0.899128911,Other,8.87,3.65,260.13
9,264.1747,Nortriptyline,1069.5,0.918767074,Antidepressants,10.47,4.43,265.01
9,264.1958,Tramadol,1084.44,0.931601464,Opioid,9.23,2.45,272.29
9,267.1856,Desipramine,1065.54,0.915365187,Antidepressants,10.02,3.9,268
9,271.0633,Nordiazepam,1092.42,0.938456781,Sedative,2.85,3.21,225.42
9,276.1594,MDPV,1078.44,0.92644709,Stimulant,7.31,2.99,262.5
9,278.1903,Amitriptyline,1073.52,0.922220504,Antidepressants,9.76,4.81,282.76
9,278.1903,EDDP,1048.62,0.900829854,Opioid,9.64,4.63,282.49
9,278.2115,Venlafaxine,1103.34,0.94783774,Antidepressants,8.91,2.74,289.28
9,280.1696,Doxepin,1071.48,0.920468017,Antidepressants,9.76,3.84,274.85
9,281.2012,Imipramine,1069.5,0.918767074,Antidepressants,9.2,4.28,285.75
9,282.0873,Nitrazepam,1158.06,0.994845627,Sedative,2.65,2.55,233.74
9,284.1194,7-aminoflunitrazepam,1024.74,0.880315448,Sedative,3.32,1.79,244.9
9,285.0789,Diazepam,1104.36,0.948713984,Sedative,2.92,3.08,242.85
9,286.0742,7-aminoclonazepam,1030.68,0.885418277,Sedative,3.37,2.53,235.66
9,286.1438,Hydromorphone,1073.52,0.922220504,Opioid,9.08,1.47,256.88
9,286.1438,Morphine,1073.52,0.922220504,Opioid,9.12,0.9,255.64
9,286.1438,Norhydrocodone,1073.52,0.922220504,Opioid,10.13,1.58,256.72
9,290.1387,Benzoylecgonine,1216.8,1.045306943,Stimulant,9.54,-0.59,264.87
9,298.126,Duloxetine,1085.46,0.932477707,Antidepressants,9.7,4.2,276.98
9,300.1594,Codeine,1055.58,0.906808927,Opioid,13.78,1.34,273.31
9,300.1594,Hydrocodone,1055.58,0.906808927,Opioid,9.17,1.96,274.49
9,302.1387,Noroxycodone,1075.5,0.923921447,Opioid,9.56,0.65,265.49
9,302.1387,Oxymorphone,1075.5,0.923921447,Opioid,8.75,0.64,265.48
9,302.1751,Dihydrocodeine,1073.52,0.922220504,Opioid,9.33,1.55,280.95
9,308.1757,Zolpidem,1126.26,0.967527447,Sedative,3.02,3.02,291.81
9,310.1413,Fluoxetine,1092.42,0.938456781,Antidepressants,9.8,4.17,274.24
9,310.2165,Methadone,1095.36,0.940982424,Opioid,9.12,5.01,322.45
9,315.1623,Clomipramine,1091.4,0.937580537,Antidepressants,9.2,4.88,299.69
9,316.1543,Oxycodone,1078.44,0.92644709,Opioid,8.77,1.03,283.21
9,325.1711,Citalopram,1106.34,0.950414927,Antidepressants,9.78,3.76,303.78
9,326.0855,Midazolam,1069.5,0.918767074,Anesthetic,6.19,3.97,266.62
9,328.1543,Naloxone,1097.4,0.942734911,Opioid,8.39,1.48,291.96
9,336.1543,6-acetylmorphine,1117.26,0.959795887,Opioid,9.08,1.31,292.18
9,337.2274,Fentanyl,1137.18,0.976908407,Opioid,8.77,3.82,339.46
9,340.2271,Propoxyphene,1120.26,0.962373074,Opioid,9.52,4.9,348.13
9,342.17,Naltrexone,1132.2,0.972630277,Other,9.35,1.27,304.76
9,372.1586,Trazadone,1144.14,0.98288748,Antidepressants,7.09,3.13,326.98
9,388.1586,Flurazepam,1085.46,0.932477707,Sedative,8.71,3.95,346.17
9,399.2278,Mitragynine,1174.98,1.00938096,Opioid,7.04,3.3,376.57
10,141.1435,Amphetamine-d5,986.28,0.780939712,Internal Standard,10.01,1.8,144.86
10,172.1332,Gabapentin,1069.92,0.847166136,Other,9.91,-1.27,176.16
10,177.1022,Cotinine,1012.2,0.801463252,Other,4.79,0.21,165.31
10,178.1226,Mephedrone,1050,0.831393415,Amphetamine,8.05,2.12,181.62
10,184.0768,F-Phe,1262.94,1,Internal Standard,9.45,-1.04,160.46
10,194.1176,MDMA,1044,0.826642596,Amphetamine,10.14,1.86,185.76
10,208.0968,Methylone,1060.92,0.840039907,Amphetamine,7.96,1.23,188.09
10,208.1332,MDEA,1088.82,0.862131218,Amphetamine,10.22,2.22,202.74
10,222.1852,Tapentadol,1136.58,0.899947741,Opioid,9.6,2.96,240.11
10,224.0837,Norketamine,1087.8,0.861323578,Anesthetic,7.27,2.91,201.26
10,233.1648,Norfentanyl,1117.68,0.88498266,Opioid,10.03,1.42,234.04
10,234.1489,Methylphenidate,1122.66,0.88892584,Stimulant,9.09,2.25,230.61
10,234.1489,Normeperidine,1095.78,0.867642168,Anesthetic,9.33,2.07,231.03
10,238.0993,Ketamine,1093.8,0.866074398,Anesthetic,7.16,3.35,218.93
10,244.206,Phencyclidine,1140.54,0.903083282,Anesthetic,10.56,4.49,260.25
10,248.1645,Meperidine,1111.68,0.88023184,Anesthetic,8.16,2.46,248.67
10,256.1696,Diphenhydramine,1128.6,0.893629151,Other,8.87,3.65,260.13
10,264.1747,Nortriptyline,1153.5,0.913345052,Antidepressants,10.47,4.43,265.01
10,264.1958,Tramadol,1171.38,0.927502494,Opioid,9.23,2.45,272.29
10,267.1856,Desipramine,1148.52,0.909401872,Antidepressants,10.02,3.9,268
10,271.0633,Nordiazepam,1181.34,0.935388855,Sedative,2.85,3.21,225.42
10,276.1594,MDPV,1163.46,0.921231412,Stimulant,7.31,2.99,262.5
10,278.1903,Amitriptyline,1158.48,0.917288232,Antidepressants,9.76,4.81,282.76
10,278.1903,EDDP,1129.62,0.89443679,Opioid,9.64,4.63,282.49
10,278.2115,Venlafaxine,1191.3,0.943275215,Antidepressants,8.91,2.74,289.28
10,281.2012,Imipramine,1153.5,0.913345052,Antidepressants,9.2,4.28,285.75
10,282.0873,Nitrazepam,1257.96,0.99605682,Sedative,2.65,2.55,233.74
10,284.1194,7-aminoflunitrazepam,1103.7,0.87391325,Sedative,3.32,1.79,244.9
10,285.0789,Diazepam,1194.3,0.945650625,Sedative,2.92,3.08,242.85
10,286.0742,7-aminoclonazepam,1109.7,0.87866407,Sedative,3.37,2.53,235.66
10,286.1438,Hydromorphone,1157.46,0.916480593,Opioid,9.08,1.47,256.88
10,286.1438,Morphine,1157.46,0.916480593,Opioid,9.12,0.9,255.64
10,286.1438,Norhydrocodone,1157.46,0.916480593,Opioid,10.13,1.58,256.72
10,290.1387,Benzoylecgonine,1325.64,1.049646064,Stimulant,9.54,-0.59,264.87
10,300.1594,Codeine,1136.58,0.899947741,Opioid,13.78,1.34,273.31
10,300.1594,Hydrocodone,1136.58,0.899947741,Opioid,9.17,1.96,274.49
10,302.1387,Noroxycodone,1170.42,0.926742363,Opioid,9.56,0.65,265.49
10,302.1387,Oxymorphone,1170.42,0.926742363,Opioid,8.75,0.64,265.48
10,302.1751,Dihydrocodeine,1158.48,0.917288232,Opioid,9.33,1.55,280.95
10,308.1757,Zolpidem,1217.16,0.963751247,Sedative,3.02,3.02,291.81
10,310.1413,Fluoxetine,1179.36,0.933821084,Antidepressants,9.8,4.17,274.24
10,310.2165,Methadone,1183.32,0.936956625,Opioid,9.12,5.01,322.45
10,315.1623,Clomipramine,1177.38,0.932253314,Antidepressants,9.2,4.88,299.69
10,316.1543,Oxycodone,1164.42,0.921991544,Opioid,8.77,1.03,283.21
10,325.1711,Citalopram,1196.28,0.947218395,Antidepressants,9.78,3.76,303.78
10,326.0855,Midazolam,1153.5,0.913345052,Anesthetic,6.19,3.97,266.62
10,328.1543,Naloxone,1183.32,0.936956625,Opioid,8.39,1.48,291.96
10,337.1543,6-acetylmorphine,1210.2,0.958240296,Opioid,9.08,1.31,292.18
10,337.2274,Fentanyl,1232.1,0.975580788,Opioid,8.77,3.82,339.46
10,340.2271,Propoxyphene,1211.22,0.959047936,Opioid,9.52,4.9,348.13
10,342.17,Naltrexone,1226.1,0.970829968,Other,9.35,1.27,304.76
10,372.1586,Trazadone,1239.06,0.981091738,Antidepressants,7.09,3.13,326.98
10,388.1586,Flurazepam,1172.4,0.928310133,Sedative,8.71,3.95,346.17
10,399.2278,Mitragynine,1274.88,1.009454131,Opioid,7.04,3.3,376.57
11,141.1435,Amphetamine-d5,995.34,0.798123647,Internal Standard,10.01,1.8,144.86
11,172.1332,Gabapentin,1074.96,0.861967765,Other,9.91,-1.27,176.16
11,177.1022,Cotinine,1019.22,0.817272071,Other,4.79,0.21,165.31
11,178.1226,Mephedrone,1055.04,0.845994708,Amphetamine,8.05,2.12,181.62
11,184.0768,F-Phe,1247.1,1,Internal Standard,9.45,-1.04,160.46
11,194.1176,MDMA,1050.06,0.842001443,Amphetamine,10.14,1.86,185.76
11,208.0968,Methylone,1064.04,0.853211451,Amphetamine,7.96,1.23,188.09
11,208.1332,MDEA,1089.9,0.873947558,Amphetamine,10.22,2.22,202.74
11,222.1852,Tapentadol,1133.7,0.90906904,Opioid,9.6,2.96,240.11
11,224.0837,Norketamine,1090.86,0.874717344,Anesthetic,7.27,2.91,201.26
11,233.1648,Norfentanyl,1117.74,0.89627135,Opioid,10.03,1.42,234.04
11,234.1489,Methylphenidate,1120.74,0.89867693,Stimulant,9.09,2.25,230.61
11,234.1489,Normeperidine,1096.86,0.879528506,Anesthetic,9.33,2.07,231.03
11,238.0993,Ketamine,1095.84,0.878710609,Anesthetic,7.16,3.35,218.93
11,244.206,Phencyclidine,1136.64,0.91142651,Anesthetic,10.56,4.49,260.25
11,248.1645,Meperidine,1111.8,0.891508299,Anesthetic,8.16,2.46,248.67
11,256.1696,Diphenhydramine,1125.72,0.902670195,Other,8.87,3.65,260.13
11,264.1747,Nortriptyline,1150.56,0.922588405,Antidepressants,10.47,4.43,265.01
11,264.1958,Tramadol,1164.54,0.933798412,Opioid,9.23,2.45,272.29
11,267.1856,Desipramine,1145.64,0.918643252,Antidepressants,10.02,3.9,268
11,271.0633,Nordiazepam,1173.48,0.940967044,Sedative,2.85,3.21,225.42
11,276.1594,MDPV,1158.54,0.92898725,Stimulant,7.31,2.99,262.5
11,278.1903,Amitriptyline,1153.56,0.924993986,Antidepressants,9.76,4.81,282.76
11,278.1903,EDDP,1127.7,0.904257878,Opioid,9.64,4.63,282.49
11,278.2115,Venlafaxine,1184.4,0.949723358,Antidepressants,8.91,2.74,289.28
11,280.1696,Doxepin,1151.58,0.923406303,Antidepressants,9.76,3.84,274.85
11,281.2012,Imipramine,1148.58,0.921000722,Antidepressants,9.2,4.28,285.75
11,282.0873,Nitrazepam,1244.1,0.997594419,Sedative,2.65,2.55,233.74
11,284.1194,7-aminoflunitrazepam,1102.8,0.884291556,Sedative,3.32,1.79,244.9
11,285.0789,Diazepam,1185.42,0.950541256,Sedative,2.92,3.08,242.85
11,286.0742,7-aminoclonazepam,1108.8,0.889102718,Sedative,3.37,2.53,235.66
11,286.1438,Hydromorphone,1152.6,0.9242242,Opioid,9.08,1.47,256.88
11,286.1438,Morphine,1152.6,0.9242242,Opioid,9.12,0.9,255.64
11,286.1438,Norhydrocodone,1152.6,0.9242242,Opioid,10.13,1.58,256.72
11,290.1387,Benzoylecgonine,1303.86,1.045513592,Stimulant,9.54,-0.59,264.87
11,298.126,Duloxetine,1164.54,0.933798412,Antidepressants,9.7,4.2,276.98
11,300.1594,Codeine,1134.66,0.909838826,Opioid,13.78,1.34,273.31
11,300.1594,Hydrocodone,1134.66,0.909838826,Opioid,9.17,1.96,274.49
11,302.1387,Noroxycodone,1156.56,0.927399567,Opioid,9.56,0.65,265.49
11,302.1387,Oxymorphone,1156.56,0.927399567,Opioid,8.75,0.64,265.48
11,302.1751,Dihydrocodeine,1154.58,0.925811884,Opioid,9.33,1.55,280.95
11,308.1757,Zolpidem,1208.28,0.968871783,Sedative,3.02,3.02,291.81
11,310.1413,Fluoxetine,1173.48,0.940967044,Antidepressants,9.8,4.17,274.24
11,310.2165,Methadone,1176.48,0.943372624,Opioid,9.12,5.01,322.45
11,315.1623,Clomipramine,1170.48,0.938561463,Antidepressants,9.2,4.88,299.69
11,316.1543,Oxycodone,1159.56,0.929805148,Opioid,8.77,1.03,283.21
11,325.1711,Citalopram,1187.4,0.952128939,Antidepressants,9.78,3.76,303.78
11,326.0855,Midazolam,1148.58,0.921000722,Anesthetic,6.19,3.97,266.62
11,328.1543,Naloxone,1178.46,0.944960308,Opioid,8.39,1.48,291.96
11,337.2274,Fentanyl,1222.26,0.98008179,Opioid,8.77,3.82,339.46
11,338.1543,6-acetylmorphine,1201.32,0.963290835,Opioid,9.08,1.31,292.18
11,340.2271,Propoxyphene,1201.32,0.963290835,Opioid,9.52,4.9,348.13
11,342.17,Naltrexone,1215.3,0.974500842,Other,9.35,1.27,304.76
11,372.1586,Trazadone,1225.2,0.982439259,Antidepressants,7.09,3.13,326.98
11,388.1586,Flurazepam,1165.5,0.934568198,Sedative,8.71,3.95,346.17
11,399.2278,Mitragynine,1257.06,1.007986529,Opioid,7.04,3.3,376.57
12,141.1435,Amphetamine-d5,932.76,0.782188679,Internal Standard,10.01,1.8,144.86
12,160.1332,Pregabalin,978.54,0.820578616,Other,10.23,-1.35,170.24
12,172.1332,Gabapentin,1012.38,0.848955975,Other,9.91,-1.27,176.16
12,177.1022,Cotinine,957.66,0.803069182,Other,4.79,0.21,165.31
12,178.1226,Mephedrone,992.52,0.832301887,Amphetamine,8.05,2.12,181.62
12,184.0768,F-Phe,1192.5,1,Internal Standard,9.45,-1.04,160.46
12,194.1176,MDMA,987.54,0.828125786,Amphetamine,10.14,1.86,185.76
12,208.0968,Methylone,1003.44,0.841459119,Amphetamine,7.96,1.23,188.09
12,208.1332,MDEA,1029.3,0.863144654,Amphetamine,10.22,2.22,202.74
12,222.1852,Tapentadol,1074.12,0.90072956,Opioid,9.6,2.96,240.11
12,224.0837,Norketamine,1029.3,0.863144654,Anesthetic,7.27,2.91,201.26
12,233.1648,Norfentanyl,1057.2,0.886540881,Opioid,10.03,1.42,234.04
12,234.1489,Methylphenidate,1061.16,0.889861635,Stimulant,9.09,2.25,230.61
12,234.1489,Normeperidine,1036.26,0.868981132,Anesthetic,9.33,2.07,231.03
12,238.0993,Ketamine,1035.3,0.868176101,Anesthetic,7.16,3.35,218.93
12,244.206,Phencyclidine,1076.1,0.902389937,Anesthetic,10.56,4.49,260.25
12,248.1645,Meperidine,1051.2,0.881509434,Anesthetic,8.16,2.46,248.67
12,256.1696,Diphenhydramine,1066.14,0.894037736,Other,8.87,3.65,260.13
12,264.1747,Nortriptyline,1089,0.913207547,Antidepressants,10.47,4.43,265.01
12,264.1958,Tramadol,1106.94,0.928251572,Opioid,9.23,2.45,272.29
12,267.1856,Desipramine,1086.06,0.910742138,Antidepressants,10.02,3.9,268
12,271.0633,Nordiazepam,1112.88,0.933232704,Sedative,2.85,3.21,225.42
12,276.1594,MDPV,1100.94,0.923220126,Stimulant,7.31,2.99,262.5
12,278.1903,Amitriptyline,1095,0.918238994,Antidepressants,9.76,4.81,282.76
12,278.1903,EDDP,1068.12,0.895698113,Opioid,9.64,4.63,282.49
12,278.2115,Venlafaxine,1125.84,0.944100629,Antidepressants,8.91,2.74,289.28
12,280.1696,Doxepin,1090.02,0.914062893,Antidepressants,9.76,3.84,274.85
12,281.2012,Imipramine,1089,0.913207547,Antidepressants,9.2,4.28,285.75
12,282.0873,Nitrazepam,1188.54,0.996679245,Sedative,2.65,2.55,233.74
12,284.1194,7-aminoflunitrazepam,1044.24,0.875672956,Sedative,3.32,1.79,244.9
12,285.0789,Diazepam,1128.84,0.946616352,Sedative,2.92,3.08,242.85
12,286.0742,7-aminoclonazepam,1049.22,0.879849057,Sedative,3.37,2.53,235.66
12,286.1438,Hydromorphone,1068.12,0.895698113,Opioid,9.08,1.47,256.88
12,286.1438,Morphine,1068.12,0.895698113,Opioid,9.12,0.9,255.64
12,286.1438,Norhydrocodone,1068.12,0.895698113,Opioid,10.13,1.58,256.72
12,290.1387,Benzoylecgonine,1250.22,1.048402516,Stimulant,9.54,-0.59,264.87
12,298.126,Duloxetine,1103.94,0.925735849,Antidepressants,9.7,4.2,276.98
12,300.1594,Codeine,1075.08,0.901534591,Opioid,13.78,1.34,273.31
12,300.1594,Hydrocodone,1075.08,0.901534591,Opioid,9.17,1.96,274.49
12,302.1387,Noroxycodone,1098.96,0.921559748,Opioid,9.56,0.65,265.49
12,302.1387,Oxymorphone,1098.96,0.921559748,Opioid,8.75,0.64,265.48
12,302.1751,Dihydrocodeine,1095,0.918238994,Opioid,9.33,1.55,280.95
12,308.1757,Zolpidem,1151.7,0.965786164,Sedative,3.02,3.02,291.81
